_id_: 303;uniprotIds_e: ;uniprotIds: ;
_id_: 343;uniprotIds_e: ;uniprotIds: ;
_id_: 342;uniprotIds_e: ;uniprotIds: ;
_id_: 341;uniprotIds_e: ;uniprotIds: ;
_id_: 340;uniprotIds_e: ;uniprotIds: ;
_id_: 339;uniprotIds_e: ;uniprotIds: ;
_id_: 338;uniprotIds_e: ;uniprotIds: ;
_id_: 337;uniprotIds_e: ;uniprotIds: ;
_id_: 336;uniprotIds_e: ;uniprotIds: ;
_id_: 351;uniprotIds_e: ;uniprotIds: ;
_id_: 350;uniprotIds_e: ;uniprotIds: ;
_id_: 349;uniprotIds_e: ;uniprotIds: ;
_id_: 348;uniprotIds_e: ;uniprotIds: ;
_id_: 347;uniprotIds_e: ;uniprotIds: ;
_id_: 346;uniprotIds_e: ;uniprotIds: ;
_id_: 345;uniprotIds_e: ;uniprotIds: ;
_id_: 344;uniprotIds_e: ;uniprotIds: ;
_id_: 326;uniprotIds_e: ;uniprotIds: ;
_id_: 327;uniprotIds_e: ;uniprotIds: ;
_id_: 324;uniprotIds_e: ;uniprotIds: ;
_id_: 325;uniprotIds_e: ;uniprotIds: ;
_id_: 322;uniprotIds_e: ;uniprotIds: ;
_id_: 323;uniprotIds_e: ;uniprotIds: ;
_id_: 320;uniprotIds_e: ;uniprotIds: ;
_id_: 321;uniprotIds_e: ;uniprotIds: ;
_id_: 334;uniprotIds_e: ;uniprotIds: ;
_id_: 335;uniprotIds_e: ;uniprotIds: ;
_id_: 332;uniprotIds_e: ;uniprotIds: ;
_id_: 333;uniprotIds_e: ;uniprotIds: ;
_id_: 330;uniprotIds_e: ;uniprotIds: ;
_id_: 331;uniprotIds_e: ;uniprotIds: ;
_id_: 328;uniprotIds_e: ;uniprotIds: ;
_id_: 329;uniprotIds_e: ;uniprotIds: ;
_id_: 373;uniprotIds_e: ;uniprotIds: ;
_id_: 372;uniprotIds_e: ;uniprotIds: ;
_id_: 375;uniprotIds_e: ;uniprotIds: ;
_id_: 374;uniprotIds_e: ;uniprotIds: ;
_id_: 369;uniprotIds_e: ;uniprotIds: ;
_id_: 368;uniprotIds_e: ;uniprotIds: ;
_id_: 371;uniprotIds_e: ;uniprotIds: ;
_id_: 370;uniprotIds_e: ;uniprotIds: ;
_id_: 381;uniprotIds_e: ;uniprotIds: ;
_id_: 380;uniprotIds_e: ;uniprotIds: ;
_id_: 383;uniprotIds_e: ;uniprotIds: ;
_id_: 382;uniprotIds_e: ;uniprotIds: ;
_id_: 377;uniprotIds_e: ;uniprotIds: ;
_id_: 376;uniprotIds_e: ;uniprotIds: ;
_id_: 379;uniprotIds_e: ;uniprotIds: ;
_id_: 378;uniprotIds_e: ;uniprotIds: ;
_id_: 356;uniprotIds_e: ;uniprotIds: ;
_id_: 357;uniprotIds_e: ;uniprotIds: ;
_id_: 358;uniprotIds_e: ;uniprotIds: ;
_id_: 359;uniprotIds_e: ;uniprotIds: ;
_id_: 352;uniprotIds_e: ;uniprotIds: ;
_id_: 353;uniprotIds_e: ;uniprotIds: ;
_id_: 354;uniprotIds_e: ;uniprotIds: ;
_id_: 355;uniprotIds_e: ;uniprotIds: ;
_id_: 364;uniprotIds_e: ;uniprotIds: ;
_id_: 365;uniprotIds_e: ;uniprotIds: ;
_id_: 366;uniprotIds_e: ;uniprotIds: ;
_id_: 367;uniprotIds_e: ;uniprotIds: ;
_id_: 360;uniprotIds_e: ;uniprotIds: ;
_id_: 361;uniprotIds_e: ;uniprotIds: ;
_id_: 362;uniprotIds_e: ;uniprotIds: ;
_id_: 363;uniprotIds_e: ;uniprotIds: ;
_id_: 410;uniprotIds_e: ;uniprotIds: ;
_id_: 411;uniprotIds_e: ;uniprotIds: ;
_id_: 408;uniprotIds_e: ;uniprotIds: ;
_id_: 409;uniprotIds_e: ;uniprotIds: ;
_id_: 414;uniprotIds_e: ;uniprotIds: ;
_id_: 415;uniprotIds_e: ;uniprotIds: ;
_id_: 412;uniprotIds_e: ;uniprotIds: ;
_id_: 413;uniprotIds_e: ;uniprotIds: ;
_id_: 402;uniprotIds_e: ;uniprotIds: ;
_id_: 403;uniprotIds_e: ;uniprotIds: ;
_id_: 400;uniprotIds_e: ;uniprotIds: ;
_id_: 401;uniprotIds_e: ;uniprotIds: ;
_id_: 406;uniprotIds_e: ;uniprotIds: ;
_id_: 407;uniprotIds_e: ;uniprotIds: ;
_id_: 404;uniprotIds_e: ;uniprotIds: ;
_id_: 405;uniprotIds_e: ;uniprotIds: ;
_id_: 395;uniprotIds_e: ;uniprotIds: ;
_id_: 394;uniprotIds_e: ;uniprotIds: ;
_id_: 393;uniprotIds_e: ;uniprotIds: ;
_id_: 392;uniprotIds_e: ;uniprotIds: ;
_id_: 399;uniprotIds_e: ;uniprotIds: ;
_id_: 398;uniprotIds_e: ;uniprotIds: ;
_id_: 397;uniprotIds_e: ;uniprotIds: ;
_id_: 396;uniprotIds_e: ;uniprotIds: ;
_id_: 387;uniprotIds_e: ;uniprotIds: ;
_id_: 386;uniprotIds_e: ;uniprotIds: ;
_id_: 385;uniprotIds_e: ;uniprotIds: ;
_id_: 384;uniprotIds_e: ;uniprotIds: ;
_id_: 391;uniprotIds_e: ;uniprotIds: ;
_id_: 390;uniprotIds_e: ;uniprotIds: ;
_id_: 389;uniprotIds_e: ;uniprotIds: ;
_id_: 388;uniprotIds_e: ;uniprotIds: ;
_id_: 440;uniprotIds_e: ;uniprotIds: ;
_id_: 441;uniprotIds_e: ;uniprotIds: ;
_id_: 442;uniprotIds_e: ;uniprotIds: ;
_id_: 443;uniprotIds_e: ;uniprotIds: ;
_id_: 444;uniprotIds_e: ;uniprotIds: ;
_id_: 445;uniprotIds_e: ;uniprotIds: ;
_id_: 446;uniprotIds_e: ;uniprotIds: ;
_id_: 447;uniprotIds_e: ;uniprotIds: ;
_id_: 432;uniprotIds_e: ;uniprotIds: ;
_id_: 433;uniprotIds_e: ;uniprotIds: ;
_id_: 434;uniprotIds_e: ;uniprotIds: ;
_id_: 435;uniprotIds_e: ;uniprotIds: ;
_id_: 436;uniprotIds_e: ;uniprotIds: ;
_id_: 437;uniprotIds_e: ;uniprotIds: ;
_id_: 438;uniprotIds_e: ;uniprotIds: ;
_id_: 439;uniprotIds_e: ;uniprotIds: ;
_id_: 425;uniprotIds_e: ;uniprotIds: ;
_id_: 424;uniprotIds_e: ;uniprotIds: ;
_id_: 427;uniprotIds_e: ;uniprotIds: ;
_id_: 426;uniprotIds_e: ;uniprotIds: ;
_id_: 429;uniprotIds_e: ;uniprotIds: ;
_id_: 428;uniprotIds_e: ;uniprotIds: ;
_id_: 431;uniprotIds_e: ;uniprotIds: ;
_id_: 430;uniprotIds_e: ;uniprotIds: ;
_id_: 417;uniprotIds_e: ;uniprotIds: ;
_id_: 416;uniprotIds_e: ;uniprotIds: ;
_id_: 419;uniprotIds_e: ;uniprotIds: ;
_id_: 418;uniprotIds_e: ;uniprotIds: ;
_id_: 421;uniprotIds_e: ;uniprotIds: ;
_id_: 420;uniprotIds_e: ;uniprotIds: ;
_id_: 423;uniprotIds_e: ;uniprotIds: ;
_id_: 422;uniprotIds_e: ;uniprotIds: ;
_id_: 478;uniprotIds_e: ;uniprotIds: ;
_id_: 479;uniprotIds_e: ;uniprotIds: ;
_id_: 476;uniprotIds_e: ;uniprotIds: ;
_id_: 477;uniprotIds_e: ;uniprotIds: ;
_id_: 474;uniprotIds_e: ;uniprotIds: ;
_id_: 475;uniprotIds_e: ;uniprotIds: ;
_id_: 472;uniprotIds_e: ;uniprotIds: ;
_id_: 473;uniprotIds_e: ;uniprotIds: ;
_id_: 470;uniprotIds_e: ;uniprotIds: ;
_id_: 471;uniprotIds_e: ;uniprotIds: ;
_id_: 468;uniprotIds_e: ;uniprotIds: ;
_id_: 469;uniprotIds_e: ;uniprotIds: ;
_id_: 466;uniprotIds_e: ;uniprotIds: ;
_id_: 467;uniprotIds_e: ;uniprotIds: ;
_id_: 464;uniprotIds_e: ;uniprotIds: ;
_id_: 465;uniprotIds_e: ;uniprotIds: ;
_id_: 463;uniprotIds_e: ;uniprotIds: ;
_id_: 462;uniprotIds_e: ;uniprotIds: ;
_id_: 461;uniprotIds_e: ;uniprotIds: ;
_id_: 460;uniprotIds_e: ;uniprotIds: ;
_id_: 459;uniprotIds_e: ;uniprotIds: ;
_id_: 458;uniprotIds_e: ;uniprotIds: ;
_id_: 457;uniprotIds_e: ;uniprotIds: ;
_id_: 456;uniprotIds_e: ;uniprotIds: ;
_id_: 455;uniprotIds_e: ;uniprotIds: ;
_id_: 454;uniprotIds_e: ;uniprotIds: ;
_id_: 453;uniprotIds_e: ;uniprotIds: ;
_id_: 452;uniprotIds_e: ;uniprotIds: ;
_id_: 451;uniprotIds_e: ;uniprotIds: ;
_id_: 450;uniprotIds_e: ;uniprotIds: ;
_id_: 449;uniprotIds_e: ;uniprotIds: ;
_id_: 448;uniprotIds_e: ;uniprotIds: ;
_id_: 508;uniprotIds_e: ;uniprotIds: ;
_id_: 509;uniprotIds_e: ;uniprotIds: ;
_id_: 510;uniprotIds_e: ;uniprotIds: ;
_id_: 511;uniprotIds_e: ;uniprotIds: ;
_id_: 504;uniprotIds_e: ;uniprotIds: ;
_id_: 505;uniprotIds_e: ;uniprotIds: ;
_id_: 506;uniprotIds_e: ;uniprotIds: ;
_id_: 507;uniprotIds_e: ;uniprotIds: ;
_id_: 500;uniprotIds_e: ;uniprotIds: ;
_id_: 501;uniprotIds_e: ;uniprotIds: ;
_id_: 502;uniprotIds_e: ;uniprotIds: ;
_id_: 503;uniprotIds_e: ;uniprotIds: ;
_id_: 496;uniprotIds_e: ;uniprotIds: ;
_id_: 497;uniprotIds_e: ;uniprotIds: ;
_id_: 498;uniprotIds_e: ;uniprotIds: ;
_id_: 499;uniprotIds_e: ;uniprotIds: ;
_id_: 493;uniprotIds_e: ;uniprotIds: ;
_id_: 492;uniprotIds_e: ;uniprotIds: ;
_id_: 495;uniprotIds_e: ;uniprotIds: ;
_id_: 494;uniprotIds_e: ;uniprotIds: ;
